,Dataset,Cell_type
8422,CID004716-1,Resident Macrophage
8423,CID004716-1,CD4 SELL naive
8424,CID004716-1,CD4 TRM
8425,CID004716-1,CD4 Tfh
8426,CID004716-1,CD4 Th17
8427,CID004716-1,CD4 Tph
8428,CID004716-1,CD4 Treg
8429,CID004716-1,CD8 Effector
8430,CID004716-1,CD8 IEL
8431,CID004716-1,CD8 SELL Naive
8432,CID004716-1,ILC3
8433,CID004716-1,MAIT
8434,CID004716-1,NK
8435,CID004716-1,Proliferating T cells
8436,CID004716-1,gd T cell 1
8437,CID004716-1,gd T cell 2
8438,CID004716-1,GC-like B cell
8439,CID004716-1,Memory B cell
8440,CID004716-1,Naive B cell
8441,CID004716-1,Plasma Cell
8442,CID004716-1,Plasmablast
8443,CID004716-1,Arterial Pericyte
8444,CID004716-1,Blood Endothelial Cell
8445,CID004716-1,Fibroblast
8446,CID004716-1,Glial Cell
8447,CID004716-1,Inflammatory Fibroblast
8448,CID004716-1,Myofibroblast
8449,CID004716-1,Pericyte
8450,CID004716-1,Post-capillary venules
8451,CID004716-1,Proliferating Stromal Cell
8452,CID004716-1,Smooth Muscle Cell
8453,CID004716-1,Enterocyte
8454,CID004716-1,Enteroendocrine Cell
8455,CID004716-1,Epithelial M Cell
8456,CID004716-1,Epithelial Progenitor Cell
8457,CID004716-1,Epithelial Stem Cell
8458,CID004716-1,Goblet Cell
8459,CID004716-1,Tuft Cell
8460,CID004717-1,CD209+ moDC
8461,CID004717-1,CD83+ CLEC9A+ DC
8462,CID004717-1,CD83- CLEC9A+ DC
8463,CID004717-1,CLEC10A+ DC
8464,CID004717-1,IL7R+ Activated DC
8465,CID004717-1,Mast Cell
8466,CID004717-1,Memory B cell
8467,CID004717-1,Monocyte Inflammatory
8468,CID004717-1,Proliferating myeloid
8469,CID004717-1,Resident Macrophage
8470,CID004717-1,CD4 SELL naive
8471,CID004717-1,CD4 TRM
8472,CID004717-1,CD4 Tfh
8473,CID004717-1,CD4 Th17
8474,CID004717-1,CD4 Tph
8475,CID004717-1,CD4 Treg
8476,CID004717-1,CD8 Effector
8477,CID004717-1,CD8 IEL
8478,CID004717-1,CD8 SELL Naive
8479,CID004717-1,ILC3
8480,CID004717-1,MAIT
8481,CID004717-1,NK
8482,CID004717-1,Proliferating T cells
8483,CID004717-1,gd T cell 1
8484,CID004717-1,gd T cell 2
8485,CID004717-1,GC-like B cell
8486,CID004717-1,Memory B cell
8487,CID004717-1,Naive B cell
8488,CID004717-1,Plasma Cell
8489,CID004717-1,Plasmablast
8490,CID004717-1,Arterial Pericyte
8491,CID004717-1,Blood Endothelial Cell
8492,CID004717-1,Fibroblast
8493,CID004717-1,Glial Cell
8494,CID004717-1,Inflammatory Fibroblast
8495,CID004717-1,Myofibroblast
8496,CID004717-1,Pericyte
8497,CID004717-1,Post-capillary venules
8498,CID004717-1,Proliferating Stromal Cell
8499,CID004717-1,Smooth Muscle Cell
8500,CID004717-1,Enterocyte
8501,CID004717-1,Enteroendocrine Cell
8502,CID004717-1,Epithelial M Cell
8503,CID004717-1,Epithelial Progenitor Cell
8504,CID004717-1,Epithelial Stem Cell
8505,CID004717-1,Goblet Cell
8506,CID004717-1,Tuft Cell
8507,CID004718-1,CD209+ moDC
8508,CID004718-1,CD83+ CLEC9A+ DC
8509,CID004718-1,CD83- CLEC9A+ DC
8510,CID004718-1,CLEC10A+ DC
8511,CID004718-1,IL7R+ Activated DC
8512,CID004718-1,Mast Cell
8513,CID004718-1,Memory B cell
8514,CID004718-1,Monocyte Inflammatory
8515,CID004718-1,Proliferating myeloid
8516,CID004718-1,Resident Macrophage
8517,CID004718-1,CD4 SELL naive
8518,CID004718-1,CD4 TRM
8519,CID004718-1,CD4 Tfh
8520,CID004718-1,CD4 Th17
8521,CID004718-1,CD4 Tph
8522,CID004718-1,CD4 Treg
8523,CID004718-1,CD8 Effector
8524,CID004718-1,CD8 IEL
8525,CID004718-1,CD8 SELL Naive
8526,CID004718-1,ILC3
8527,CID004718-1,MAIT
8528,CID004718-1,NK
8529,CID004718-1,Proliferating T cells
8530,CID004718-1,gd T cell 1
8531,CID004718-1,gd T cell 2
8532,CID004718-1,GC-like B cell
8533,CID004718-1,Memory B cell
8534,CID004718-1,Naive B cell
8535,CID004718-1,Plasma Cell
8536,CID004718-1,Plasmablast
8537,CID004718-1,Arterial Pericyte
8538,CID004718-1,Blood Endothelial Cell
8539,CID004718-1,Fibroblast
8540,CID004718-1,Glial Cell
8541,CID004718-1,Inflammatory Fibroblast
8542,CID004718-1,Myofibroblast
8543,CID004718-1,Pericyte
8544,CID004718-1,Post-capillary venules
8545,CID004718-1,Proliferating Stromal Cell
8546,CID004718-1,Smooth Muscle Cell
8547,CID004718-1,Enterocyte
8548,CID004718-1,Enteroendocrine Cell
8549,CID004718-1,Epithelial M Cell
8550,CID004718-1,Epithelial Progenitor Cell
8551,CID004718-1,Epithelial Stem Cell
8552,CID004718-1,Goblet Cell
8553,CID004718-1,Tuft Cell
8554,CID004719-1,CD209+ moDC
8555,CID004719-1,CD83+ CLEC9A+ DC
8556,CID004719-1,CD83- CLEC9A+ DC
8557,CID004719-1,CLEC10A+ DC
8558,CID004719-1,IL7R+ Activated DC
8559,CID004719-1,Mast Cell
8560,CID004719-1,Memory B cell
8561,CID004719-1,Monocyte Inflammatory
8562,CID004719-1,Proliferating myeloid
8563,CID004719-1,Resident Macrophage
8564,CID004719-1,CD4 SELL naive
8565,CID004719-1,CD4 TRM
8566,CID004719-1,CD4 Tfh
8567,CID004719-1,CD4 Th17
8568,CID004719-1,CD4 Tph
8569,CID004719-1,CD4 Treg
8570,CID004719-1,CD8 Effector
8571,CID004719-1,CD8 IEL
8572,CID004719-1,CD8 SELL Naive
8573,CID004719-1,ILC3
8574,CID004719-1,MAIT
8575,CID004719-1,NK
8576,CID004719-1,Proliferating T cells
8577,CID004719-1,gd T cell 1
8578,CID004719-1,gd T cell 2
8579,CID004719-1,GC-like B cell
8580,CID004719-1,Memory B cell
8581,CID004719-1,Naive B cell
8582,CID004719-1,Plasma Cell
8583,CID004719-1,Plasmablast
8584,CID004719-1,Arterial Pericyte
8585,CID004719-1,Blood Endothelial Cell
8586,CID004719-1,Fibroblast
8587,CID004719-1,Glial Cell
8588,CID004719-1,Inflammatory Fibroblast
8589,CID004719-1,Myofibroblast
8590,CID004719-1,Pericyte
8591,CID004719-1,Post-capillary venules
8592,CID004719-1,Proliferating Stromal Cell
8593,CID004719-1,Smooth Muscle Cell
8594,CID004719-1,Enterocyte
8595,CID004719-1,Enteroendocrine Cell
8596,CID004719-1,Epithelial M Cell
8597,CID004719-1,Epithelial Progenitor Cell
8598,CID004719-1,Epithelial Stem Cell
8599,CID004719-1,Goblet Cell
8600,CID004719-1,Tuft Cell
8601,CID004720-2,CD209+ moDC
8602,CID004720-2,CD83+ CLEC9A+ DC
8603,CID004720-2,CD83- CLEC9A+ DC
8604,CID004720-2,CLEC10A+ DC
8605,CID004720-2,IL7R+ Activated DC
8606,CID004720-2,Mast Cell
8607,CID004720-2,Memory B cell
8608,CID004720-2,Monocyte Inflammatory
8609,CID004720-2,Proliferating myeloid
8610,CID004720-2,Resident Macrophage
8611,CID004720-2,CD4 SELL naive
8612,CID004720-2,CD4 TRM
8613,CID004720-2,CD4 Tfh
8614,CID004720-2,CD4 Th17
8615,CID004720-2,CD4 Tph
8616,CID004720-2,CD4 Treg
8617,CID004720-2,CD8 Effector
8618,CID004720-2,CD8 IEL
8619,CID004720-2,CD8 SELL Naive
8620,CID004720-2,ILC3
8621,CID004720-2,MAIT
8622,CID004720-2,NK
8623,CID004720-2,Proliferating T cells
8624,CID004720-2,gd T cell 1
8625,CID004720-2,gd T cell 2
8626,CID004720-2,GC-like B cell
8627,CID004720-2,Memory B cell
8628,CID004720-2,Naive B cell
8629,CID004720-2,Plasma Cell
8630,CID004720-2,Plasmablast
8631,CID004720-2,Arterial Pericyte
8632,CID004720-2,Blood Endothelial Cell
8633,CID004720-2,Fibroblast
8634,CID004720-2,Glial Cell
8635,CID004720-2,Inflammatory Fibroblast
8636,CID004720-2,Myofibroblast
8637,CID004720-2,Pericyte
8638,CID004720-2,Post-capillary venules
8639,CID004720-2,Proliferating Stromal Cell
8640,CID004720-2,Smooth Muscle Cell
8641,CID004720-2,Enterocyte
8642,CID004720-2,Enteroendocrine Cell
8643,CID004720-2,Epithelial M Cell
8644,CID004720-2,Epithelial Progenitor Cell
8645,CID004720-2,Epithelial Stem Cell
8646,CID004720-2,Goblet Cell
8647,CID004720-2,Tuft Cell
8648,CID004721-1,CD209+ moDC
8649,CID004721-1,CD83+ CLEC9A+ DC
8650,CID004721-1,CD83- CLEC9A+ DC
8651,CID004721-1,CLEC10A+ DC
8652,CID004721-1,IL7R+ Activated DC
8653,CID004721-1,Mast Cell
8654,CID004721-1,Memory B cell
8655,CID004721-1,Monocyte Inflammatory
8656,CID004721-1,Proliferating myeloid
8657,CID004721-1,Resident Macrophage
8658,CID004721-1,CD4 SELL naive
8659,CID004721-1,CD4 TRM
8660,CID004721-1,CD4 Tfh
8661,CID004721-1,CD4 Th17
8662,CID004721-1,CD4 Tph
8663,CID004721-1,CD4 Treg
8664,CID004721-1,CD8 Effector
8665,CID004721-1,CD8 IEL
8666,CID004721-1,CD8 SELL Naive
8667,CID004721-1,ILC3
8668,CID004721-1,MAIT
8669,CID004721-1,NK
8670,CID004721-1,Proliferating T cells
8671,CID004721-1,gd T cell 1
8672,CID004721-1,gd T cell 2
8673,CID004721-1,GC-like B cell
8674,CID004721-1,Memory B cell
8675,CID004721-1,Naive B cell
8676,CID004721-1,Plasma Cell
8677,CID004721-1,Plasmablast
8678,CID004721-1,Arterial Pericyte
8679,CID004721-1,Blood Endothelial Cell
8680,CID004721-1,Fibroblast
8681,CID004721-1,Glial Cell
8682,CID004721-1,Inflammatory Fibroblast
8683,CID004721-1,Myofibroblast
8684,CID004721-1,Pericyte
8685,CID004721-1,Post-capillary venules
8686,CID004721-1,Proliferating Stromal Cell
8687,CID004721-1,Smooth Muscle Cell
8688,CID004721-1,Enterocyte
8689,CID004721-1,Enteroendocrine Cell
8690,CID004721-1,Epithelial M Cell
8691,CID004721-1,Epithelial Progenitor Cell
8692,CID004721-1,Epithelial Stem Cell
8693,CID004721-1,Goblet Cell
8694,CID004721-1,Tuft Cell
8695,CID004722-1,CD209+ moDC
8696,CID004722-1,CD83+ CLEC9A+ DC
8697,CID004722-1,CD83- CLEC9A+ DC
8698,CID004722-1,CLEC10A+ DC
8699,CID004722-1,IL7R+ Activated DC
8700,CID004722-1,Mast Cell
8701,CID004722-1,Memory B cell
8702,CID004722-1,Monocyte Inflammatory
8703,CID004722-1,Proliferating myeloid
8704,CID004722-1,Resident Macrophage
8705,CID004722-1,CD4 SELL naive
8706,CID004722-1,CD4 TRM
8707,CID004722-1,CD4 Tfh
8708,CID004722-1,CD4 Th17
8709,CID004722-1,CD4 Tph
8710,CID004722-1,CD4 Treg
8711,CID004722-1,CD8 Effector
8712,CID004722-1,CD8 IEL
8713,CID004722-1,CD8 SELL Naive
8714,CID004722-1,ILC3
8715,CID004722-1,MAIT
8716,CID004722-1,NK
8717,CID004722-1,Proliferating T cells
8718,CID004722-1,gd T cell 1
8719,CID004722-1,gd T cell 2
8720,CID004722-1,GC-like B cell
8721,CID004722-1,Memory B cell
8722,CID004722-1,Naive B cell
8723,CID004722-1,Plasma Cell
8724,CID004722-1,Plasmablast
8725,CID004722-1,Arterial Pericyte
8726,CID004722-1,Blood Endothelial Cell
8727,CID004722-1,Fibroblast
8728,CID004722-1,Glial Cell
8729,CID004722-1,Inflammatory Fibroblast
8730,CID004722-1,Myofibroblast
8731,CID004722-1,Pericyte
8732,CID004722-1,Post-capillary venules
8733,CID004722-1,Proliferating Stromal Cell
8734,CID004722-1,Smooth Muscle Cell
8735,CID004722-1,Enterocyte
8736,CID004722-1,Enteroendocrine Cell
8737,CID004722-1,Epithelial M Cell
8738,CID004722-1,Epithelial Progenitor Cell
8739,CID004722-1,Epithelial Stem Cell
8740,CID004722-1,Goblet Cell
8741,CID004722-1,Tuft Cell
8742,CID004723-1,CD209+ moDC
8743,CID004723-1,CD83+ CLEC9A+ DC
8744,CID004723-1,CD83- CLEC9A+ DC
8745,CID004723-1,CLEC10A+ DC
8746,CID004723-1,IL7R+ Activated DC
8747,CID004723-1,Mast Cell
8748,CID004723-1,Memory B cell
8749,CID004723-1,Monocyte Inflammatory
8750,CID004723-1,Proliferating myeloid
8751,CID004723-1,Resident Macrophage
8752,CID004723-1,CD4 SELL naive
8753,CID004723-1,CD4 TRM
8754,CID004723-1,CD4 Tfh
8755,CID004723-1,CD4 Th17
8756,CID004723-1,CD4 Tph
8757,CID004723-1,CD4 Treg
8758,CID004723-1,CD8 Effector
8759,CID004723-1,CD8 IEL
8760,CID004723-1,CD8 SELL Naive
8761,CID004723-1,ILC3
8762,CID004723-1,MAIT
8763,CID004723-1,NK
8764,CID004723-1,Proliferating T cells
8765,CID004723-1,gd T cell 1
8766,CID004723-1,gd T cell 2
8767,CID004723-1,GC-like B cell
8768,CID004723-1,Memory B cell
8769,CID004723-1,Naive B cell
8770,CID004723-1,Plasma Cell
8771,CID004723-1,Plasmablast
8772,CID004723-1,Arterial Pericyte
8773,CID004723-1,Blood Endothelial Cell
8774,CID004723-1,Fibroblast
8775,CID004723-1,Glial Cell
8776,CID004723-1,Inflammatory Fibroblast
8777,CID004723-1,Myofibroblast
8778,CID004723-1,Pericyte
8779,CID004723-1,Post-capillary venules
8780,CID004723-1,Proliferating Stromal Cell
8781,CID004723-1,Smooth Muscle Cell
8782,CID004723-1,Enterocyte
8783,CID004723-1,Enteroendocrine Cell
8784,CID004723-1,Epithelial M Cell
8785,CID004723-1,Epithelial Progenitor Cell
8786,CID004723-1,Epithelial Stem Cell
8787,CID004723-1,Goblet Cell
8788,CID004723-1,Tuft Cell
8789,CID004724-1,CD209+ moDC
8790,CID004724-1,CD83+ CLEC9A+ DC
8791,CID004724-1,CD83- CLEC9A+ DC
8792,CID004724-1,CLEC10A+ DC
8793,CID004724-1,IL7R+ Activated DC
8794,CID004724-1,Mast Cell
8795,CID004724-1,Memory B cell
8796,CID004724-1,Monocyte Inflammatory
8797,CID004724-1,Proliferating myeloid
8798,CID004724-1,Resident Macrophage
8799,CID004724-1,CD4 SELL naive
8800,CID004724-1,CD4 TRM
8801,CID004724-1,CD4 Tfh
8802,CID004724-1,CD4 Th17
8803,CID004724-1,CD4 Tph
8804,CID004724-1,CD4 Treg
8805,CID004724-1,CD8 Effector
8806,CID004724-1,CD8 IEL
8807,CID004724-1,CD8 SELL Naive
8808,CID004724-1,ILC3
8809,CID004724-1,MAIT
8810,CID004724-1,NK
8811,CID004724-1,Proliferating T cells
8812,CID004724-1,gd T cell 1
8813,CID004724-1,gd T cell 2
8814,CID004724-1,GC-like B cell
8815,CID004724-1,Memory B cell
8816,CID004724-1,Naive B cell
8817,CID004724-1,Plasma Cell
8818,CID004724-1,Plasmablast
8819,CID004724-1,Arterial Pericyte
8820,CID004724-1,Blood Endothelial Cell
8821,CID004724-1,Fibroblast
8822,CID004724-1,Glial Cell
8823,CID004724-1,Inflammatory Fibroblast
8824,CID004724-1,Myofibroblast
8825,CID004724-1,Pericyte
8826,CID004724-1,Post-capillary venules
8827,CID004724-1,Proliferating Stromal Cell
8828,CID004724-1,Smooth Muscle Cell
8829,CID004724-1,Enterocyte
8830,CID004724-1,Enteroendocrine Cell
8831,CID004724-1,Epithelial M Cell
8832,CID004724-1,Epithelial Progenitor Cell
8833,CID004724-1,Epithelial Stem Cell
8834,CID004724-1,Goblet Cell
8835,CID004724-1,Tuft Cell
8836,CID004725-1,CD209+ moDC
8837,CID004725-1,CD83+ CLEC9A+ DC
8838,CID004725-1,CD83- CLEC9A+ DC
8839,CID004725-1,CLEC10A+ DC
8840,CID004725-1,IL7R+ Activated DC
8841,CID004725-1,Mast Cell
8842,CID004725-1,Memory B cell
8843,CID004725-1,Monocyte Inflammatory
8844,CID004725-1,Proliferating myeloid
8845,CID004725-1,Resident Macrophage
8846,CID004725-1,CD4 SELL naive
8847,CID004725-1,CD4 TRM
8848,CID004725-1,CD4 Tfh
8849,CID004725-1,CD4 Th17
8850,CID004725-1,CD4 Tph
8851,CID004725-1,CD4 Treg
8852,CID004725-1,CD8 Effector
8853,CID004725-1,CD8 IEL
8854,CID004725-1,CD8 SELL Naive
8855,CID004725-1,ILC3
8856,CID004725-1,MAIT
8857,CID004725-1,NK
8858,CID004725-1,Proliferating T cells
8859,CID004725-1,gd T cell 1
8860,CID004725-1,gd T cell 2
8861,CID004725-1,GC-like B cell
8862,CID004725-1,Memory B cell
8863,CID004725-1,Naive B cell
8864,CID004725-1,Plasma Cell
8865,CID004725-1,Plasmablast
8866,CID004725-1,Arterial Pericyte
8867,CID004725-1,Blood Endothelial Cell
8868,CID004725-1,Fibroblast
8869,CID004725-1,Glial Cell
8870,CID004725-1,Inflammatory Fibroblast
8871,CID004725-1,Myofibroblast
8872,CID004725-1,Pericyte
8873,CID004725-1,Post-capillary venules
8874,CID004725-1,Proliferating Stromal Cell
8875,CID004725-1,Smooth Muscle Cell
8876,CID004725-1,Enterocyte
8877,CID004725-1,Enteroendocrine Cell
8878,CID004725-1,Epithelial M Cell
8879,CID004725-1,Epithelial Progenitor Cell
8880,CID004725-1,Epithelial Stem Cell
8881,CID004725-1,Goblet Cell
8882,CID004725-1,Tuft Cell
8883,CID004726-1,CD209+ moDC
8884,CID004726-1,CD83+ CLEC9A+ DC
8885,CID004726-1,CD83- CLEC9A+ DC
8886,CID004726-1,CLEC10A+ DC
8887,CID004726-1,IL7R+ Activated DC
8888,CID004726-1,Mast Cell
8889,CID004726-1,Memory B cell
8890,CID004726-1,Monocyte Inflammatory
8891,CID004726-1,Proliferating myeloid
8892,CID004726-1,Resident Macrophage
8893,CID004726-1,CD4 SELL naive
8894,CID004726-1,CD4 TRM
8895,CID004726-1,CD4 Tfh
8896,CID004726-1,CD4 Th17
8897,CID004726-1,CD4 Tph
8898,CID004726-1,CD4 Treg
8899,CID004726-1,CD8 Effector
8900,CID004726-1,CD8 IEL
8901,CID004726-1,CD8 SELL Naive
8902,CID004726-1,ILC3
8903,CID004726-1,MAIT
8904,CID004726-1,NK
8905,CID004726-1,Proliferating T cells
8906,CID004726-1,gd T cell 1
8907,CID004726-1,gd T cell 2
8908,CID004726-1,GC-like B cell
8909,CID004726-1,Memory B cell
8910,CID004726-1,Naive B cell
8911,CID004726-1,Plasma Cell
8912,CID004726-1,Plasmablast
8913,CID004726-1,Arterial Pericyte
8914,CID004726-1,Blood Endothelial Cell
8915,CID004726-1,Fibroblast
8916,CID004726-1,Glial Cell
8917,CID004726-1,Inflammatory Fibroblast
8918,CID004726-1,Myofibroblast
8919,CID004726-1,Pericyte
8920,CID004726-1,Post-capillary venules
8921,CID004726-1,Proliferating Stromal Cell
8922,CID004726-1,Smooth Muscle Cell
8923,CID004726-1,Enterocyte
8924,CID004726-1,Enteroendocrine Cell
8925,CID004726-1,Epithelial M Cell
8926,CID004726-1,Epithelial Progenitor Cell
8927,CID004726-1,Epithelial Stem Cell
8928,CID004726-1,Goblet Cell
8929,CID004726-1,Tuft Cell
8930,CID004727-1,CD209+ moDC
8931,CID004727-1,CD83+ CLEC9A+ DC
8932,CID004727-1,CD83- CLEC9A+ DC
8933,CID004727-1,CLEC10A+ DC
8934,CID004727-1,IL7R+ Activated DC
8935,CID004727-1,Mast Cell
8936,CID004727-1,Memory B cell
8937,CID004727-1,Monocyte Inflammatory
8938,CID004727-1,Proliferating myeloid
8939,CID004727-1,Resident Macrophage
8940,CID004727-1,CD4 SELL naive
8941,CID004727-1,CD4 TRM
8942,CID004727-1,CD4 Tfh
8943,CID004727-1,CD4 Th17
8944,CID004727-1,CD4 Tph
8945,CID004727-1,CD4 Treg
8946,CID004727-1,CD8 Effector
8947,CID004727-1,CD8 IEL
8948,CID004727-1,CD8 SELL Naive
8949,CID004727-1,ILC3
8950,CID004727-1,MAIT
8951,CID004727-1,NK
8952,CID004727-1,Proliferating T cells
8953,CID004727-1,gd T cell 1
8954,CID004727-1,gd T cell 2
8955,CID004727-1,GC-like B cell
8956,CID004727-1,Memory B cell
8957,CID004727-1,Naive B cell
8958,CID004727-1,Plasma Cell
8959,CID004727-1,Plasmablast
8960,CID004727-1,Arterial Pericyte
8961,CID004727-1,Blood Endothelial Cell
8962,CID004727-1,Fibroblast
8963,CID004727-1,Glial Cell
8964,CID004727-1,Inflammatory Fibroblast
8965,CID004727-1,Myofibroblast
8966,CID004727-1,Pericyte
8967,CID004727-1,Post-capillary venules
8968,CID004727-1,Proliferating Stromal Cell
8969,CID004727-1,Smooth Muscle Cell
8970,CID004727-1,Enterocyte
8971,CID004727-1,Enteroendocrine Cell
8972,CID004727-1,Epithelial M Cell
8973,CID004727-1,Epithelial Progenitor Cell
8974,CID004727-1,Epithelial Stem Cell
8975,CID004727-1,Goblet Cell
8976,CID004727-1,Tuft Cell
8977,CID004728-1,CD209+ moDC
8978,CID004728-1,CD83+ CLEC9A+ DC
8979,CID004728-1,CD83- CLEC9A+ DC
8980,CID004728-1,CLEC10A+ DC
8981,CID004728-1,IL7R+ Activated DC
8982,CID004728-1,Mast Cell
8983,CID004728-1,Memory B cell
8984,CID004728-1,Monocyte Inflammatory
8985,CID004728-1,Proliferating myeloid
8986,CID004728-1,Resident Macrophage
8987,CID004728-1,CD4 SELL naive
8988,CID004728-1,CD4 TRM
8989,CID004728-1,CD4 Tfh
8990,CID004728-1,CD4 Th17
8991,CID004728-1,CD4 Tph
8992,CID004728-1,CD4 Treg
8993,CID004728-1,CD8 Effector
8994,CID004728-1,CD8 IEL
8995,CID004728-1,CD8 SELL Naive
8996,CID004728-1,ILC3
8997,CID004728-1,MAIT
8998,CID004728-1,NK
8999,CID004728-1,Proliferating T cells
9000,CID004728-1,gd T cell 1
9001,CID004728-1,gd T cell 2
9002,CID004728-1,GC-like B cell
9003,CID004728-1,Memory B cell
9004,CID004728-1,Naive B cell
9005,CID004728-1,Plasma Cell
9006,CID004728-1,Plasmablast
9007,CID004728-1,Arterial Pericyte
9008,CID004728-1,Blood Endothelial Cell
9009,CID004728-1,Fibroblast
9010,CID004728-1,Glial Cell
9011,CID004728-1,Inflammatory Fibroblast
9012,CID004728-1,Myofibroblast
9013,CID004728-1,Pericyte
9014,CID004728-1,Post-capillary venules
9015,CID004728-1,Proliferating Stromal Cell
9016,CID004728-1,Smooth Muscle Cell
9017,CID004728-1,Enterocyte
9018,CID004728-1,Enteroendocrine Cell
9019,CID004728-1,Epithelial M Cell
9020,CID004728-1,Epithelial Progenitor Cell
9021,CID004728-1,Epithelial Stem Cell
9022,CID004728-1,Goblet Cell
9023,CID004728-1,Tuft Cell
9024,CID004729-1,CD209+ moDC
9025,CID004729-1,CD83+ CLEC9A+ DC
9026,CID004729-1,CD83- CLEC9A+ DC
9027,CID004729-1,CLEC10A+ DC
9028,CID004729-1,IL7R+ Activated DC
9029,CID004729-1,Mast Cell
9030,CID004729-1,Memory B cell
9031,CID004729-1,Monocyte Inflammatory
9032,CID004729-1,Proliferating myeloid
9033,CID004729-1,Resident Macrophage
9034,CID004729-1,CD4 SELL naive
9035,CID004729-1,CD4 TRM
9036,CID004729-1,CD4 Tfh
9037,CID004729-1,CD4 Th17
9038,CID004729-1,CD4 Tph
9039,CID004729-1,CD4 Treg
9040,CID004729-1,CD8 Effector
9041,CID004729-1,CD8 IEL
9042,CID004729-1,CD8 SELL Naive
9043,CID004729-1,ILC3
9044,CID004729-1,MAIT
9045,CID004729-1,NK
9046,CID004729-1,Proliferating T cells
9047,CID004729-1,gd T cell 1
9048,CID004729-1,gd T cell 2
9049,CID004729-1,GC-like B cell
9050,CID004729-1,Memory B cell
9051,CID004729-1,Naive B cell
9052,CID004729-1,Plasma Cell
9053,CID004729-1,Plasmablast
9054,CID004729-1,Arterial Pericyte
9055,CID004729-1,Blood Endothelial Cell
9056,CID004729-1,Fibroblast
9057,CID004729-1,Glial Cell
9058,CID004729-1,Inflammatory Fibroblast
9059,CID004729-1,Myofibroblast
9060,CID004729-1,Pericyte
9061,CID004729-1,Post-capillary venules
9062,CID004729-1,Proliferating Stromal Cell
9063,CID004729-1,Smooth Muscle Cell
9064,CID004729-1,Enterocyte
9065,CID004729-1,Enteroendocrine Cell
9066,CID004729-1,Epithelial M Cell
9067,CID004729-1,Epithelial Progenitor Cell
9068,CID004729-1,Epithelial Stem Cell
9069,CID004729-1,Goblet Cell
9070,CID004729-1,Tuft Cell
9071,CID004730-1,CD209+ moDC
9072,CID004730-1,CD83+ CLEC9A+ DC
9073,CID004730-1,CD83- CLEC9A+ DC
9074,CID004730-1,CLEC10A+ DC
9075,CID004730-1,IL7R+ Activated DC
9076,CID004730-1,Mast Cell
9077,CID004730-1,Memory B cell
9078,CID004730-1,Monocyte Inflammatory
9079,CID004730-1,Proliferating myeloid
9080,CID004730-1,Resident Macrophage
9081,CID004730-1,CD4 SELL naive
9082,CID004730-1,CD4 TRM
9083,CID004730-1,CD4 Tfh
9084,CID004730-1,CD4 Th17
9085,CID004730-1,CD4 Tph
9086,CID004730-1,CD4 Treg
9087,CID004730-1,CD8 Effector
9088,CID004730-1,CD8 IEL
9089,CID004730-1,CD8 SELL Naive
9090,CID004730-1,ILC3
9091,CID004730-1,MAIT
9092,CID004730-1,NK
9093,CID004730-1,Proliferating T cells
9094,CID004730-1,gd T cell 1
9095,CID004730-1,gd T cell 2
9096,CID004730-1,GC-like B cell
9097,CID004730-1,Memory B cell
9098,CID004730-1,Naive B cell
9099,CID004730-1,Plasma Cell
9100,CID004730-1,Plasmablast
9101,CID004730-1,Arterial Pericyte
9102,CID004730-1,Blood Endothelial Cell
9103,CID004730-1,Fibroblast
9104,CID004730-1,Glial Cell
9105,CID004730-1,Inflammatory Fibroblast
9106,CID004730-1,Myofibroblast
9107,CID004730-1,Pericyte
9108,CID004730-1,Post-capillary venules
9109,CID004730-1,Proliferating Stromal Cell
9110,CID004730-1,Smooth Muscle Cell
9111,CID004730-1,Enterocyte
9112,CID004730-1,Enteroendocrine Cell
9113,CID004730-1,Epithelial M Cell
9114,CID004730-1,Epithelial Progenitor Cell
9115,CID004730-1,Epithelial Stem Cell
9116,CID004730-1,Goblet Cell
9117,CID004730-1,Tuft Cell
9118,CID004731-1,CD209+ moDC
9119,CID004731-1,CD83+ CLEC9A+ DC
9120,CID004731-1,CD83- CLEC9A+ DC
9121,CID004731-1,CLEC10A+ DC
9122,CID004731-1,IL7R+ Activated DC
9123,CID004731-1,Mast Cell
9124,CID004731-1,Memory B cell
9125,CID004731-1,Monocyte Inflammatory
9126,CID004731-1,Proliferating myeloid
9127,CID004731-1,Resident Macrophage
9128,CID004731-1,CD4 SELL naive
9129,CID004731-1,CD4 TRM
9130,CID004731-1,CD4 Tfh
9131,CID004731-1,CD4 Th17
9132,CID004731-1,CD4 Tph
9133,CID004731-1,CD4 Treg
9134,CID004731-1,CD8 Effector
9135,CID004731-1,CD8 IEL
9136,CID004731-1,CD8 SELL Naive
9137,CID004731-1,ILC3
9138,CID004731-1,MAIT
9139,CID004731-1,NK
9140,CID004731-1,Proliferating T cells
9141,CID004731-1,gd T cell 1
9142,CID004731-1,gd T cell 2
9143,CID004731-1,GC-like B cell
9144,CID004731-1,Memory B cell
9145,CID004731-1,Naive B cell
9146,CID004731-1,Plasma Cell
9147,CID004731-1,Plasmablast
9148,CID004731-1,Arterial Pericyte
9149,CID004731-1,Blood Endothelial Cell
9150,CID004731-1,Fibroblast
9151,CID004731-1,Glial Cell
9152,CID004731-1,Inflammatory Fibroblast
9153,CID004731-1,Myofibroblast
