,Tumor_model_annot,Blood_model_annot,Dataset
SRX4518739,Non_plasma_B_cells,,GSE118254
ERX397869,CD4_T_cells,,E-MTAB-2319
SRX3586336,Macrophages,,GSE109439
SRX865309,Fibroblasts,,GSE65634
SRX1739139,Macrophages_M1,,GSE81046
SRX2422711,Non_plasma_B_cells,,GSE92387
SRX4016740,CD4_T_cells,,GSE113891
SRX1262143,T_cells,,GSE73213
SRX5824134,Follicular_T_helper,,GSE131088
SRX1739431,Macrophages_M1,,GSE81046
SRX1739454,Macrophages_M1,,GSE81046
ERX1448271,Fibroblasts,,E-MTAB-4652
SRX974186,Macrophages_M1,,GSE67427
SRX5128553,Th1_cells,,GSE123812
SRX4097427,Endothelium,,GSE114607
SRX1522228,Endothelium,,GSE60217
SRX1881730,CD8_T_cells,,GSE83808
SRX4203040,CD8_T_cells,,GSE115736
SRX1363175,NK_cells,,GSE74246
SRX1571035,NK_cells,,GSE77808
SRX1739267,Macrophages_M1,,GSE81046
SRX680595,Non_plasma_B_cells,,GSE60424
SRX1739244,Macrophages_M1,,GSE81046
SRX2433557,Macrophages,,GSE92532
SRX5191654,Endothelium,,GSE124522
SRX974063,Macrophages,,GSE67427
SRX4797354,Fibroblasts,,GSE112101
SRX5213375,Macrophages_M1,,GSE124738
SRX5824209,Follicular_T_helper,,GSE131089
SRX1739038,Macrophages_M1,,GSE81046
SRX1614190,CD4_T_cells,,GSE78922
SRX5624505,Macrophages,,GSE129210
SRX2915416,Macrophages,,GSE99987
SRX3209567,Macrophages_M1,,GSE104176
SRX1739228,Macrophages_M1,,GSE81046
SRX2915433,Macrophages,,GSE99987
SRX1739359,Macrophages_M1,,GSE81046
SRX4044534,T_helpers,,GSE114065
SRX4203029,Non_plasma_B_cells,,GSE115736
SRX5124470,Macrophages,,GSE123603
SRX1739364,Macrophages_M1,,GSE81046
SRX2664180,Fibroblasts,,GSE96975
SRX1884194,Fibroblasts,,GSE83834
SRX1739056,Macrophages_M1,,GSE81046
SRX1674340,Macrophages,,GSE79833
SRX2947706,Macrophages_M1,,GSE100382
SRX2701947,Fibroblasts,,GSE97358
SRX4377232,Neutrophils,,GSE116899
SRX3862324,gd_T_Cells,,GSE112483
SRX2741702,T_helpers,,GSE97862
SRX5128540,Th17_cells,,GSE123812
SRX5128537,Th1_cells,,GSE123812
SRX611347,Endothelium,,GSE58663
SRX4804523,CD8_T_cells,,GSE120904
SRX1371957,Endothelium,,GSE74322
SRX1739091,Macrophages_M1,,GSE81046
SRX1558513,Endothelium,,GSE77522
SRX5656674,CD4_T_cells,,GSE129522
SRX1739276,Macrophages_M1,,GSE81046
SRX1115727,Endothelium,,GSE71216
SRX2532704,T_helpers,,GSE94396
SRX2915415,Macrophages,,GSE99987
SRX5656673,CD4_T_cells,,GSE129522
SRX2388200,CD8_T_cells,,GSE90730
SRX259471,Non_plasma_B_cells,,GSE45734
SRX4377235,Neutrophils,,GSE116899
SRX1363205,CD4_T_cells,,GSE74246
SRX4001750,Macrophages,,GSE103477
SRX865315,Fibroblasts,,GSE65634
SRX1733631,Macrophages,,GSE80727
ERX1858575,CD8_T_cells,,E-MTAB-5381
SRX4097408,Endothelium,,GSE114607
SRX1527082,Fibroblasts,,GSE77131
SRX4203034,CD4_T_cells,,GSE115736
ERX1448265,Fibroblasts,,E-MTAB-4652
SRX4551849,Endothelium,,GSE118538
SRX1962059,Endothelium,,GSE84620
SRX4016719,CD4_T_cells,,GSE113891
SRX1739368,Macrophages_M1,,GSE81046
SRX4797318,Non_plasma_B_cells,,GSE112101
SRX4044565,T_helpers,,GSE114065
SRX2388148,CD8_T_cells,,GSE90730
SRX4044490,T_helpers,,GSE114065
SRX2379315,CD4_T_cells,,GSE90600
SRX4521351,Macrophages,,GSE118305
SRX1739234,Macrophages_M1,,GSE81046
SRX4075038,CD4_T_cells,,GSE114407
SRX1363202,Monocytes,,GSE74246
SRX2701798,Fibroblasts,,GSE97358
SRX974201,Macrophages_M1,,GSE67427
ERX623673,Fibroblasts,,E-MTAB-3037
SRX4823198,Macrophages,,GSE121049
ERX1966754,CD8_T_cells_PD1_low,,E-MTAB-5640
SRX2388109,CD8_T_cells,,GSE90730
SRX4495398,Macrophages,,GSE117970
SRX5128563,Th2_cells,,GSE123812
SRX2673668,Fibroblasts,,GSE97038
SRX2532699,T_helpers,,GSE94396
SRX1614200,CD4_T_cells,,GSE78922
ERX623710,Fibroblasts,,E-MTAB-3037
SRX4495410,Macrophages,,GSE117970
ERX1448288,Fibroblasts,,E-MTAB-4652
SRX2433621,Macrophages,,GSE92532
SRX4074921,Non_plasma_B_cells,,GSE114407
SRX5824143,Follicular_T_helper,,GSE131088
SRX2264839,Macrophages,,GSE89323
SRX1164945,T_helpers,,GSE72400
SRX3862353,Macrophages,,GSE112483
ERX397847,Th1_cells,,E-MTAB-2319
SRX3824879,Macrophages,,GSE112101
SRX4016739,CD4_T_cells,,GSE113891
SRX5391664,T_cells,,GSE126752
SRX1262141,CD4_T_cells,,GSE73213
SRX3208762,Macrophages,,GSE104174
SRX4377234,Neutrophils,,GSE116899
SRX4016763,CD4_T_cells,,GSE113891
ERX645742,Macrophages,,E-MTAB-3167
SRX4012385,Endothelium,,GSE113839
SRX2701823,Fibroblasts,,GSE97358
SRX1852929,Endothelium,,GSE83476
SRX2701819,Fibroblasts,,GSE97358
SRX974176,Macrophages_M1,,GSE67427
SRX1603634,Fibroblasts,,GSE78614
SRX4044496,T_helpers,,GSE114065
SRX5236171,T_cells,,GSE124876
SRX3209584,Macrophages_M1,,GSE104176
SRX1739115,Macrophages_M1,,GSE81046
SRX5624506,Macrophages,,GSE129210
SRX3990101,CD8_T_cells_PD1_low,,GSE113590
SRX2741693,T_helpers,,GSE97862
SRX1739204,Macrophages_M1,,GSE81046
SRX3209574,Macrophages_M1,,GSE104176
SRX1739213,Macrophages_M1,,GSE81046
SRX865304,Fibroblasts,,GSE65634
SRX974169,Macrophages_M1,,GSE67427
SRX1739177,Macrophages_M1,,GSE81046
SRX672212,Endothelium,,GSE60217
SRX1739044,Macrophages_M1,,GSE81046
SRX2701933,Fibroblasts,,GSE97358
SRX1739130,Macrophages_M1,,GSE81046
SRX2378885,CD4_T_cells,,GSE90569
ERX397849,CD4_T_cells,,E-MTAB-2319
SRX2575845,Fibroblasts,,GSE95059
SRX5247889,Myeloid_cells,,GSE125050
SRX5316093,Monocytes,,GSE117970
SRX4551854,Endothelium,,GSE118538
SRX1427429,Macrophages_M1,,GSE74924
SRX2664187,Fibroblasts,,GSE96975
SRX4804501,CD8_T_cells,,GSE120904
SRX4518759,Non_plasma_B_cells,,GSE118254
SRX5609040,Neutrophils,,GSE129093
SRX4620955,CD4_T_cells,,GSE119191
SRX974140,Macrophages,,GSE67427
ERX1448278,Fibroblasts,,E-MTAB-4652
SRX5512594,Endothelium,,GSE131681
SRX4074929,Monocytes,,GSE114407
SRX1739069,Macrophages,,GSE81046
SRX327498,Fibroblasts,,GSE49159
SRX1432662,Th2_cells,,GSE75011
SRX3824924,Non_plasma_B_cells,,GSE112101
SRX4559893,Neutrophils,,GSE118644
SRX609021,CD4_T_cells,,GSE58596
SRX1733632,Macrophages_M2,,GSE80727
SRX3399281,CD8_T_cells,,GSE107011
SRX1016111,Macrophages,,GSE68482
SRX3399287,T_helpers,,GSE107011
SRX1733626,Macrophages,,GSE80727
SRX2140262,CD4_T_cells,,GSE86452
SRX4285022,NK_cells,,GSE116178
SRX974185,Macrophages,,GSE67427
SRX1739190,Macrophages_M1,,GSE81046
SRX5824193,Follicular_T_helper,,GSE131089
SRX1739397,Macrophages,,GSE81046
SRX2701955,Fibroblasts,,GSE97358
SRX4016711,CD4_T_cells,,GSE113891
SRX865328,Fibroblasts,,GSE65634
SRX1739149,Macrophages_M1,,GSE81046
SRX5358454,Non_plasma_B_cells,,GSE126379
SRX3990107,CD8_T_cells_PD1_low,,GSE113590
ERX397880,Th2_cells,,E-MTAB-2319
SRX1739198,Macrophages_M1,,GSE81046
SRX5824212,Follicular_T_helper,,GSE131089
SRX974166,Macrophages,,GSE67427
SRX3234603,Fibroblasts,,GSE104458
SRX2701840,Fibroblasts,,GSE97358
SRX4813059,Macrophages_M1,,GSE120944
SRX480772,Macrophages,,GSE55536
SRX4044591,T_helpers,,GSE114065
SRX1852931,Endothelium,,GSE83476
SRX736912,Fibroblasts,,GSE62540
SRX1733630,Macrophages_M1,,GSE80727
SRX5824188,Follicular_T_helper,,GSE131089
ERX397873,Th2_cells,,E-MTAB-2319
SRX5128545,Th2_cells,,GSE123812
SRX865332,Fibroblasts,,GSE65634
SRX865313,Fibroblasts,,GSE65634
SRX790916,Fibroblasts,,GSE63733
SRX3824965,Fibroblasts,,GSE112101
SRX3360146,Fibroblasts,,GSE106508
SRX5794328,Endothelium,,GSE130727
SRX5512572,Endothelium,,GSE131681
SRX2664182,Fibroblasts,,GSE96975
SRX1262140,T_helpers,,GSE73213
SRX3208758,Macrophages,,GSE104174
SRX6476472,Endothelium,,GSE134555
SRX974148,Macrophages_M1,,GSE67427
SRX2523308,CD4_T_cells,,GSE94149
SRX1852927,Endothelium,,GSE83476
SRX1164960,T_helpers,,GSE72400
ERX397860,Non_plasma_B_cells,,E-MTAB-2319
SRX1601429,CD8_T_cells,,GSE78522
SRX1707762,Fibroblasts,,GSE80333
SRX4804505,CD8_T_cells,,GSE120904
SRX2915440,Macrophages,,GSE99987
SRX3351237,CD8_T_cells,,GSE106420
SRX5824198,Follicular_T_helper,,GSE131089
SRX2701876,Fibroblasts,,GSE97358
SRX1016106,Macrophages,,GSE68482
SRX2264059,Macrophages,,GSE89323
SRX4518720,Non_plasma_B_cells,,GSE118254
SRX259489,Non_plasma_B_cells,,GSE45734
SRX4285030,NK_cells,,GSE116178
SRX2701945,Fibroblasts,,GSE97358
SRX3208743,Macrophages,,GSE104174
SRX4521373,Macrophages,,GSE118305
SRX2947704,Macrophages_M1,,GSE100382
SRX1603624,Fibroblasts,,GSE78670
SRX1881726,CD8_T_cells,,GSE83808
SRX1527081,Fibroblasts,,GSE77131
SRX3161387,Fibroblasts,,GSE103488
SRX4203022,Non_plasma_B_cells,,GSE115736
SRX1603574,Fibroblasts,,GSE78645
SRX2523345,CD4_T_cells,,GSE94150
SRX974135,Macrophages_M1,,GSE67427
SRX5128546,Th2_cells,,GSE123812
SRX4453825,NK_cells,,GSE117614
SRX1272133,Neutrophils,,GSE73313
SRX1739312,Macrophages,,GSE81046
SRX680598,NK_cells,,GSE60424
SRX1527126,Endothelium,,GSE76743
SRX5512593,Endothelium,,GSE131681
SRX4075051,Non_plasma_B_cells,,GSE114407
SRX1674344,Macrophages,,GSE79833
SRX2388286,Macrophages_M1,,GSE90748
SRX2523342,CD4_T_cells,,GSE94150
SRX1739284,Macrophages_M1,,GSE81046
SRX4044494,T_helpers,,GSE114065
ERX1448290,Fibroblasts,,E-MTAB-4652
SRX4016728,CD4_T_cells,,GSE113891
SRX974191,Macrophages_M1,,GSE67427
SRX4386644,Macrophages,,GSE117040
SRX1527078,Fibroblasts,,GSE77131
SRX3399227,CD4_T_cells,,GSE107011
SRX220059,Endothelium,,GSE43788
SRX4285037,NK_cells,,GSE116178
SRX2965760,CD8_T_cells,,GSE100624
SRX680560,CD4_T_cells,,GSE60424
ERX1595313,Endothelium,,E-MTAB-4897
ERX397872,CD4_T_cells,,E-MTAB-2319
SRX1739021,Macrophages_M1,,GSE81046
SRX974215,Macrophages_M1,,GSE67427
SRX4044587,T_helpers,,GSE114065
SRX4184781,Myeloid_cells,,GSE115514
SRX5019095,T_cells,,GSE122624
SRX1978461,Endothelium,,GSE84877
SRX2947686,Macrophages_M1,,GSE100382
SRX4097402,Endothelium,,GSE114607
SRX5128531,CD4_T_cells,,GSE123812
SRX2523354,CD4_T_cells,,GSE94150
SRX750954,Endothelium,,GSE62974
SRX2523357,CD4_T_cells,,GSE94150
SRX4184779,Myeloid_cells,,GSE115514
SRX1992981,Macrophages,,GSE85037
SRX3110513,Fibroblasts,,GSE102860
SRX3399190,T_cells,,GSE107011
SRX2523350,CD4_T_cells,,GSE94150
SRX259450,Non_plasma_B_cells,,GSE45734
SRX5824175,Follicular_T_helper,,GSE131088
SRX3586340,Macrophages,,GSE109439
SRX2701862,Fibroblasts,,GSE97358
SRX1739186,Macrophages_M1,,GSE81046
SRX4823194,Macrophages,,GSE121049
SRX4074879,CD8_T_cells,,GSE114407
SRX3209582,Macrophages_M1,,GSE104176
SRX5391644,T_cells,,GSE126752
SRX1739421,Macrophages_M1,,GSE81046
SRX5624491,Macrophages_M1,,GSE129210
SRX1739414,Macrophages,,GSE81046
SRX1603516,Fibroblasts,,GSE78610
SRX3399241,Neutrophils,,GSE107011
SRX4804525,CD8_T_cells,,GSE120904
SRX4510460,Macrophages,,GSE118157
ERX397883,CD8_T_cells,,E-MTAB-2319
SRX1870057,Fibroblasts,,GSE83611
SRX2701817,Fibroblasts,,GSE97358
SRX974124,Macrophages_M1,,GSE67427
ERX1966758,CD8_T_cells_PD1_high,,E-MTAB-5640
SRX7142040,CD8_T_cells_PD1_high,,GSE140430
SRX2433614,Macrophages,,GSE92532
SRX3399191,gd_T_Cells,,GSE107011
SRX3351232,CD8_T_cells,,GSE106420
SRX5824210,Follicular_T_helper,,GSE131089
ERX1966734,Macrophages,,E-MTAB-5640
SRX1739079,Macrophages_M1,,GSE81046
ERX1448286,Fibroblasts,,E-MTAB-4652
SRX1601430,CD8_T_cells,,GSE78522
SRX4074983,CD4_T_cells,,GSE114407
SRX1739064,Macrophages,,GSE81046
SRX4510454,Macrophages,,GSE118157
SRX4075040,Monocytes,,GSE114407
SRX5512581,Endothelium,,GSE131681
SRX259477,Non_plasma_B_cells,,GSE45734
SRX5512576,Endothelium,,GSE131681
SRX2193437,CD4_T_cells,,GSE87399
SRX2673654,Fibroblasts,,GSE97038
SRX2947693,Macrophages_M1,,GSE100382
SRX2558449,T_helpers,,GSE94859
SRX2523337,CD4_T_cells,,GSE94150
SRX4495371,Monocytes,,GSE117970
SRX3208733,Macrophages,,GSE104174
SRX2772046,Macrophages,,GSE98368
SRX1739101,Macrophages_M1,,GSE81046
SRX5824142,Follicular_T_helper,,GSE131088
SRX4285028,NK_cells,,GSE116178
SRX1164947,T_helpers,,GSE72400
SRX4231992,Fibroblasts,,GSE115969
SRX259458,Non_plasma_B_cells,,GSE45734
ERX2443966,Endothelium,,E-MTAB-6604
SRX3208722,Macrophages,,GSE104174
SRX4074993,Non_plasma_B_cells,,GSE114407
SRX2426734,Fibroblasts,,GSE81405
SRX5824139,Follicular_T_helper,,GSE131088
SRX2701822,Fibroblasts,,GSE97358
SRX5263050,Macrophages,,GSE125352
SRX4075014,Monocytes,,GSE114407
SRX3208724,Macrophages,,GSE104174
SRX2701916,Fibroblasts,,GSE97358
SRX4804514,CD8_T_cells,,GSE120904
SRX4016717,CD4_T_cells,,GSE113891
SRX1978467,Endothelium,,GSE84877
SRX3862337,NK_cells,,GSE112483
ERX397896,CD4_T_cells,,E-MTAB-2319
SRX5128538,Th1_cells,,GSE123812
SRX1432689,Th2_cells,,GSE75011
SRX1739332,Macrophages_M1,,GSE81046
SRX5624511,Macrophages,,GSE129210
SRX4044571,T_helpers,,GSE114065
SRX5512596,Endothelium,,GSE131681
SRX4606518,Fibroblasts,,GSE119007
SRX5824176,Follicular_T_helper,,GSE131088
SRX2701900,Fibroblasts,,GSE97358
ERX1595315,Endothelium,,E-MTAB-4897
SRX865311,Fibroblasts,,GSE65634
SRX5824148,Follicular_T_helper,,GSE131088
SRX2701924,Fibroblasts,,GSE97358
SRX1739291,Macrophages,,GSE81046
SRX3208757,Macrophages,,GSE104174
SRX2673664,Fibroblasts,,GSE97038
SRX2701849,Fibroblasts,,GSE97358
SRX2701813,Fibroblasts,,GSE97358
SRX1881714,CD8_T_cells,,GSE83808
SRX259441,Non_plasma_B_cells,,GSE45734
SRX5236168,T_cells,,GSE124876
SRX1739007,Macrophages,,GSE81046
SRX2388211,CD8_T_cells,,GSE90730
SRX259435,Non_plasma_B_cells,,GSE45734
SRX5124472,Macrophages,,GSE123603
SRX865324,Fibroblasts,,GSE65634
SRX450813,Endothelium,,GSE54416
SRX2701832,Fibroblasts,,GSE97358
SRX865326,Fibroblasts,,GSE65634
SRX2701951,Fibroblasts,,GSE97358
SRX1164946,CD4_T_cells,,GSE72400
SRX3763955,CD8_T_cells_PD1_high,,GSE111389
SRX2701831,Fibroblasts,,GSE97358
SRX4804518,CD8_T_cells,,GSE120904
SRX4495404,Macrophages,,GSE117970
SRX2388189,CD8_T_cells,,GSE90730
SRX2388102,CD8_T_cells,,GSE90730
SRX2140260,T_helpers,,GSE86452
SRX1739226,Macrophages_M1,,GSE81046
SRX2701883,Fibroblasts,,GSE97358
ERX2514493,Macrophages_M2,,E-MTAB-6643
SRX4044603,T_helpers,,GSE114065
SRX1603632,Fibroblasts,,GSE78612
SRX4813058,Macrophages_M1,,GSE120944
SRX984340,Endothelium,,GSE60217
SRX327502,Fibroblasts,,GSE49159
SRX2433609,Macrophages,,GSE92532
SRX2701877,Fibroblasts,,GSE97358
SRX2140251,CD4_T_cells,,GSE86452
SRX3653941,Non_plasma_B_cells,,GSE110219
SRX2575847,Fibroblasts,,GSE95059
SRX4559883,Neutrophils,,GSE118644
SRX1427431,Macrophages_M1,,GSE74924
ERX1858571,CD8_T_cells,,E-MTAB-5381
SRX1527119,Endothelium,,GSE76743
SRX3678137,CD4_T_cells,,GSE110417
SRX3360144,Fibroblasts,,GSE106508
SRX259465,Non_plasma_B_cells,,GSE45734
SRX2422721,Non_plasma_B_cells,,GSE92387
SRX2388155,CD8_T_cells,,GSE90730
SRX1571019,NK_cells,,GSE77808
SRX2388213,CD8_T_cells,,GSE90730
SRX1707761,Fibroblasts,,GSE80333
SRX4495346,Monocytes,,GSE117970
SRX2701907,Fibroblasts,,GSE97358
SRX3208752,Macrophages,,GSE104174
SRX4518765,Non_plasma_B_cells,,GSE118254
SRX1527091,Fibroblasts,,GSE77131
SRX5824206,Follicular_T_helper,,GSE131089
SRX974174,Macrophages_M1,,GSE67427
SRX5213384,Macrophages_M1,,GSE124738
SRX2388107,CD8_T_cells,,GSE90730
SRX4016731,CD4_T_cells,,GSE113891
SRX4075022,CD4_T_cells,,GSE114407
SRX2701909,Fibroblasts,,GSE97358
SRX4044548,T_helpers,,GSE114065
SRX4551850,Endothelium,,GSE118538
SRX2379311,T_helpers,,GSE90600
SRX2267397,CD8_T_cells,,GSE89134
SRX4044492,T_helpers,,GSE114065
SRX4804524,CD8_T_cells,,GSE120904
SRX3862181,NK_cells,,GSE112482
SRX4016726,CD4_T_cells,,GSE113891
SRX974129,Macrophages_M1,,GSE67427
SRX5512573,Endothelium,,GSE131681
SRX4016744,CD4_T_cells,,GSE113891
SRX2422714,Non_plasma_B_cells,,GSE92387
SRX4016753,CD4_T_cells,,GSE113891
ERX1448285,Fibroblasts,,E-MTAB-4652
SRX2323840,NK_cells,,GSE89484
SRX5247895,Myeloid_cells,,GSE125050
SRX3630256,T_helpers,,GSE109843
SRX5624499,Macrophages_M1,,GSE129210
SRX2388196,CD8_T_cells,,GSE90730
SRX259457,Non_plasma_B_cells,,GSE45734
SRX4016760,CD4_T_cells,,GSE113891
SRX2388120,CD8_T_cells,,GSE90730
SRX1427443,Macrophages_M1,,GSE74924
SRX730612,Non_plasma_B_cells,,GSE62241
SRX2701925,Fibroblasts,,GSE97358
SRX865302,Fibroblasts,,GSE65634
SRX2701956,Fibroblasts,,GSE97358
SRX1739317,Macrophages_M1,,GSE81046
SRX5624501,Macrophages,,GSE129210
SRX1881727,CD8_T_cells,,GSE83808
SRX4495389,Monocytes,,GSE117970
SRX1739310,Macrophages_M1,,GSE81046
SRX1739093,Macrophages,,GSE81046
SRX2388285,Macrophages,,GSE90748
SRX1739271,Macrophages_M1,,GSE81046
SRX1739447,Macrophages,,GSE81046
SRX974154,Macrophages,,GSE67427
SRX2915417,Macrophages,,GSE99987
SRX1739432,Macrophages,,GSE81046
SRX3110511,Fibroblasts,,GSE102860
SRX4823201,Macrophages,,GSE121049
SRX2664189,Fibroblasts,,GSE96975
SRX272849,Endothelium,,GSE46502
SRX2701939,Fibroblasts,,GSE97358
SRX2426738,Fibroblasts,,GSE81405
SRX4518774,Non_plasma_B_cells,,GSE118254
SRX1739357,Macrophages,,GSE81046
SRX997399,Fibroblasts,,GSE67945
ERX774549,Macrophages,,E-MTAB-3398
SRX4074920,Monocytes,,GSE114407
SRX2701929,Fibroblasts,,GSE97358
SRX4606511,Fibroblasts,,GSE119007
SRX4016712,CD4_T_cells,,GSE113891
SRX259461,Non_plasma_B_cells,,GSE45734
SRX3118443,Fibroblasts,,GSE102983
SRX2701934,Fibroblasts,,GSE97358
SRX2523366,CD4_T_cells,,GSE94150
SRX2433540,Macrophages,,GSE92532
SRX4016707,CD4_T_cells,,GSE113891
ERX1842520,Neutrophils,,E-MTAB-5316
SRX259446,Non_plasma_B_cells,,GSE45734
SRX974071,Macrophages_M1,,GSE67427
SRX5842820,Macrophages,,GSE131300
SRX4044514,T_helpers,,GSE114065
SRX4231993,Fibroblasts,,GSE115969
SRX1739472,Macrophages_M1,,GSE81046
SRX3049470,CD4_T_cells,,GSE102045
SRX1739290,Macrophages_M1,,GSE81046
SRX1739400,Macrophages_M1,,GSE81046
SRX3824917,Non_plasma_B_cells,,GSE112101
SRX4495411,Macrophages,,GSE117970
SRX2701854,Fibroblasts,,GSE97358
SRX974167,Macrophages_M1,,GSE67427
SRX1614193,CD4_T_cells,,GSE78922
SRX4518730,Plasma_B_cells,,GSE118254
SRX1739441,Macrophages,,GSE81046
SRX1016109,Macrophages,,GSE68482
SRX1739173,Macrophages,,GSE81046
SRX4804520,CD8_T_cells,,GSE120904
SRX3242697,Macrophages,,GSE104589
SRX2915441,Macrophages,,GSE99987
SRX2741698,T_helpers,,GSE97862
SRX2388182,CD8_T_cells,,GSE90730
SRX1739259,Macrophages_M1,,GSE81046
SRX1884191,Fibroblasts,,GSE83834
SRX5191643,Endothelium,,GSE124522
SRX1739205,Macrophages_M1,,GSE81046
SRX5512582,Endothelium,,GSE131681
SRX2523321,CD4_T_cells,,GSE94149
SRX4044554,T_helpers,,GSE114065
SRX2320889,CD4_T_cells,,GSE89404
SRX1614197,CD4_T_cells,,GSE78922
SRX974103,Macrophages_M1,,GSE67427
SRX3161385,Fibroblasts,,GSE103488
SRX1739437,Macrophages_M1,,GSE81046
ERX1448266,Fibroblasts,,E-MTAB-4652
SRX4074876,Monocytes,,GSE114407
SRX2388139,CD8_T_cells,,GSE90730
SRX5128562,Th2_cells,,GSE123812
SRX1884197,Fibroblasts,,GSE83834
SRX2422716,Non_plasma_B_cells,,GSE92387
ERX1966750,CD8_T_cells_PD1_low,,E-MTAB-5640
SRX1164954,T_helpers,,GSE72400
SRX3208728,Macrophages,,GSE104174
SRX480775,Macrophages_M2,,GSE55536
SRX1599002,CD4_T_cells,,GSE78276
SRX865318,Fibroblasts,,GSE65634
SRX1427446,Macrophages_M1,,GSE74924
SRX1739146,Macrophages_M1,,GSE81046
SRX4823190,Macrophages,,GSE121049
ERX1958878,Non_plasma_B_cells,,E-MTAB-5616
SRX4823192,Macrophages,,GSE121049
SRX1881731,CD8_T_cells,,GSE83808
SRX5191649,Endothelium,,GSE124522
SRX5391661,T_cells,,GSE126752
SRX4495395,Macrophages,,GSE117970
SRX2673657,Fibroblasts,,GSE97038
SRX1739254,Macrophages,,GSE81046
SRX2701959,Fibroblasts,,GSE97358
SRX5128533,T_helpers,,GSE123812
SRX1739106,Macrophages_M1,,GSE81046
SRX4012397,Endothelium,,GSE113839
SRX2664184,Fibroblasts,,GSE96975
SRX1884198,Fibroblasts,,GSE83834
SRX3733739,Non_plasma_B_cells,,GSE110999
ERX1448263,Fibroblasts,,E-MTAB-4652
SRX4495377,Monocytes,,GSE117970
SRX790918,Fibroblasts,,GSE63733
SRX3824898,Neutrophils,,GSE112101
SRX259466,Non_plasma_B_cells,,GSE45734
SRX1164949,CD4_T_cells,,GSE72400
SRX4001747,Macrophages,,GSE103477
SRX3586347,Macrophages,,GSE109439
ERX623683,Fibroblasts,,E-MTAB-3037
SRX5512575,Endothelium,,GSE131681
SRX5624488,Macrophages,,GSE129210
SRX2741718,T_helpers,,GSE97862
ERX2514492,Macrophages_M2,,E-MTAB-6643
SRX1802840,CD8_T_cells,,GSE81975
ERX1448276,Fibroblasts,,E-MTAB-4652
SRX4377251,Neutrophils,,GSE116899
SRX1739218,Macrophages,,GSE81046
SRX1164951,T_helpers,,GSE72400
SRX5824204,Follicular_T_helper,,GSE131089
SRX5824164,Follicular_T_helper,,GSE131088
SRX2772050,Macrophages,,GSE98368
SRX680650,Non_plasma_B_cells,,GSE60424
SRX5226960,Fibroblasts,,GSE124786
SRX2388157,CD8_T_cells,,GSE90730
SRX3209591,Macrophages,,GSE104176
SRX4044525,T_helpers,,GSE114065
SRX2388131,CD8_T_cells,,GSE90730
SRX1739185,Macrophages,,GSE81046
SRX2947695,Macrophages_M2,,GSE100382
SRX2388130,CD8_T_cells,,GSE90730
ERX1966757,CD8_T_cells_PD1_high,,E-MTAB-5640
SRX2620143,CD4_T_cells,,GSE95820
SRX4559894,Neutrophils,,GSE118644
ERX1958886,Non_plasma_B_cells,,E-MTAB-5616
ERX2748041,CD8_T_cells,,E-MTAB-7143
SRX1739073,Macrophages_M1,,GSE81046
SRX2741710,T_helpers,,GSE97862
SRX974073,Macrophages_M1,,GSE67427
SRX2915427,Macrophages,,GSE99987
SRX984343,Endothelium,,GSE60217
ERX1966746,Macrophages,,E-MTAB-5640
SRX5824195,Follicular_T_helper,,GSE131089
SRX2388153,CD8_T_cells,,GSE90730
SRX2741714,T_helpers,,GSE97862
SRX2426740,Fibroblasts,,GSE81405
SRX2848428,Fibroblasts,,GSE99247
SRX3208712,Macrophages,,GSE104174
SRX5824186,Follicular_T_helper,,GSE131089
SRX2388280,Macrophages_M1,,GSE90748
SRX3140239,Neutrophils,,GSE103170
SRX1739216,Macrophages_M1,,GSE81046
SRX5391654,T_cells,,GSE126752
SRX3589809,Endothelium,,GSE109322
SRX3208715,Macrophages,,GSE104174
ERX2748032,T_cells,,E-MTAB-7143
SRX1852935,Endothelium,,GSE83476
SRX1759210,Fibroblasts,,GSE81405
SRX2701865,Fibroblasts,,GSE97358
SRX4016714,CD4_T_cells,,GSE113891
SRX1571017,NK_cells,,GSE77808
ERX1448257,Fibroblasts,,E-MTAB-4652
SRX1432658,Th2_cells,,GSE75011
SRX2388284,Macrophages,,GSE90748
SRX259476,B_cells,,GSE45734
SRX327497,Fibroblasts,,GSE49159
SRX1739215,Macrophages,,GSE81046
SRX2433599,Macrophages,,GSE92532
SRX1739479,Macrophages_M1,,GSE81046
SRX3703069,CD8_T_cells,,GSE110684
SRX974102,Macrophages_M1,,GSE67427
SRX2523311,CD4_T_cells,,GSE94149
SRX1739022,Macrophages,,GSE81046
SRX5824136,Follicular_T_helper,,GSE131088
SRX1739068,Macrophages_M1,,GSE81046
SRX2701807,Fibroblasts,,GSE97358
SRX1527092,Fibroblasts,,GSE77131
SRX974159,Macrophages_M1,,GSE67427
SRX974059,Macrophages,,GSE67427
SRX5191646,Endothelium,,GSE124522
SRX4012369,Myeloid_cells,,GSE113839
SRX672214,Endothelium,,GSE60217
SRX4075031,CD4_T_cells,,GSE114407
SRX974188,Macrophages_M1,,GSE67427
SRX1739187,Macrophages_M1,,GSE81046
SRX5824141,Follicular_T_helper,,GSE131088
SRX2664181,Fibroblasts,,GSE96975
ERX1958874,Non_plasma_B_cells,,E-MTAB-5616
SRX2388117,CD8_T_cells,,GSE90730
ERX623665,Fibroblasts,,E-MTAB-3037
